iter	RMSE
183	1232.479855
184	1230.573852
185	1228.050484
186	1227.330653
187	1225.715083
188	1223.721685
189	1222.469593
190	1219.949103
191	1217.975942
192	1216.827279
193	1215.011405
194	1214.392914
195	1213.739191
196	1213.068613
197	1212.649819
198	1211.279744
199	1209.944853
200	1208.499618
201	1207.974669
202	1206.846861
203	1205.66539
204	1205.189604
205	1204.146425
206	1203.570347
207	1202.739619
208	1201.265606
209	1199.636436
210	1198.699814
211	1197.845807
212	1196.631914
213	1195.50146
214	1193.881716
215	1192.494962
216	1191.505265
217	1190.38505
218	1189.048598
219	1187.913895
220	1186.738011
221	1185.839465
222	1184.217278
223	1183.255631
224	1182.046482
225	1180.535782
226	1179.433796
227	1177.758048
228	1177.148822
229	1175.931783
230	1175.210836
231	1174.68335
232	1174.538113
233	1173.339412
234	1171.93965
235	1170.594216
236	1169.164121
237	1167.858355
238	1167.500696
239	1166.982773
240	1166.432806
241	1165.838925
242	1165.207456
243	1164.053639
244	1162.780643
245	1161.745734
246	1161.196071
247	1159.967257
248	1158.895209
249	1158.159061
250	1156.618763
251	1156.132409
252	1155.003161
253	1153.932638
254	1152.902602
255	1152.283258
256	1151.756839
257	1151.079696
258	1150.261053
259	1149.986768
260	1149.00687
261	1148.0621
262	1146.978988
263	1146.249309
264	1145.694994
265	1144.749939
266	1144.256491
267	1143.528209
268	1142.581295
269	1141.717956
270	1141.20183
271	1140.320842
272	1140.117704
273	1139.455685
274	1138.776962
275	1137.891725
276	1136.801819
277	1136.317084
278	1135.365105
279	1133.965683
280	1133.020946
281	1132.526766
282	1131.962363
283	1131.507779
284	1130.875768
285	1130.25386
286	1129.616792
287	1129.153674
288	1127.801756
289	1127.253174
290	1126.51391
291	1125.930638
292	1125.235549
293	1124.849436
294	1124.687739
295	1124.119919
296	1123.440592
297	1123.202853
298	1122.731822
299	1122.469482
300	1121.899073
301	1121.190632
302	1120.328217
303	1120.121951
304	1119.19616
305	1119.104986
306	1118.639595
307	1117.82485
308	1117.141697
309	1116.965644
310	1116.617801
311	1116.070275
312	1115.571058
313	1115.029159
314	1114.868726
315	1114.635585
316	1113.91973
317	1113.265568
318	1112.282823
319	1111.566784
320	1110.566684
321	1109.876364
322	1109.558274
323	1109.270976
324	1108.661667
325	1107.807505
326	1107.334462
327	1106.904761
328	1106.347852
329	1105.617255
330	1105.185104
331	1104.925314
332	1104.182307
333	1103.847192
334	1103.161928
335	1102.525631
336	1102.392478
337	1101.550622
338	1100.919766
339	1100.485255
340	1100.049649
341	1099.877462
342	1099.682598
343	1099.162706
344	1098.800717
345	1098.27934
346	1097.390959
347	1097.000441
348	1096.018543
349	1095.311135
350	1094.591229
351	1094.092484
352	1093.055629
353	1092.938737
354	1091.953162
355	1091.860399
356	1091.707998
357	1091.503945
358	1091.011117
359	1090.436745
360	1090.145726
361	1089.598109
362	1089.458048
363	1089.054863
364	1088.648605
365	1088.549703
366	1088.326957
367	1087.71866
368	1087.604756
369	1087.43215
370	1086.868473
371	1086.655294
372	1086.373095
373	1085.200964
374	1084.658774
375	1084.562891
376	1083.905766
377	1082.976151
378	1082.36261
379	1081.948078
380	1081.664541
381	1081.183479
382	1080.369919
383	1079.81172
384	1079.268883
385	1078.747989
386	1078.532561
387	1077.954404
388	1077.371263
389	1077.011667
390	1076.544686
391	1076.509833
392	1076.103714
393	1075.927188
394	1075.407899
395	1075.161573
396	1074.616048
397	1074.400581
398	1073.776899
399	1073.254831
400	1072.815693
401	1072.779888
402	1072.340065
403	1072.1425
404	1071.905761
405	1071.235896
406	1070.94619
407	1070.231984
408	1069.98465
409	1069.435288
410	1069.055495
411	1068.652767
412	1068.095245
413	1067.768258
414	1067.506747
415	1067.289429
416	1066.693625
417	1066.193162
418	1065.737896
419	1065.070364
420	1064.533177
421	1063.543092
422	1063.11242
423	1062.6345
424	1062.211438
425	1061.805498
426	1061.388503
427	1060.972218
428	1060.480695
429	1059.93791
430	1059.309482
431	1058.463186
432	1057.870006
433	1057.656738
434	1057.347359
435	1056.537181
436	1056.003255
437	1055.219506
438	1054.767694
439	1054.31305
440	1053.770294
441	1053.512855
442	1053.093289
443	1052.892505
444	1052.108887
445	1051.793782
446	1051.149365
447	1050.912928
448	1050.823368
449	1050.432796
450	1050.174894
451	1049.742596
452	1049.52119
453	1049.288666
454	1048.993168
455	1048.205935
456	1048.087147
457	1047.7046
458	1047.115716
459	1046.975273
460	1046.787144
461	1046.45585
462	1046.06275
463	1045.920842
464	1045.517913
465	1045.423175
466	1044.895165
467	1044.384727
468	1043.923341
469	1043.673336
470	1043.21952
471	1042.988369
472	1042.664486
473	1042.470454
474	1042.037083
475	1041.859908
476	1041.604531
477	1041.447253
478	1040.79603
479	1040.229206
480	1039.986022
481	1039.352608
482	1039.085303
483	1038.90892
484	1038.307357
485	1037.831811
486	1037.553533
487	1037.479234
488	1037.328473
489	1036.661126
490	1035.925172
491	1035.158389
492	1035.073072
493	1034.561157
494	1034.213165
495	1033.503679
496	1033.40293
497	1032.924774
498	1032.467261
499	1032.209729
500	1031.95054
501	1031.394065
502	1031.153672
503	1031.040111
504	1030.724611
505	1030.415597
506	1030.170156
507	1029.864209
508	1029.224496
509	1029.152244
510	1028.715665
511	1028.607215
512	1028.260736
513	1028.066811
514	1027.863946
515	1027.422576
516	1027.025476
517	1026.688866
518	1025.991227
519	1025.776329
520	1025.530811
521	1025.382681
522	1025.165178
523	1024.523799
524	1023.907549
525	1023.717393
526	1023.425892
527	1023.10554
528	1022.939822
529	1022.799632
530	1022.712465
531	1022.426082
532	1022.195378
533	1022.021467
534	1021.653916
535	1021.520703
536	1021.184139
537	1020.957291
538	1020.701621
539	1020.27797
540	1019.861649
541	1019.630825
542	1019.172919
543	1018.966164
544	1018.392656
545	1018.008623
546	1017.688617
547	1017.324955
548	1016.924264
549	1016.744063
550	1016.628145
551	1016.400424
552	1016.317905
553	1016.114068
554	1015.799665
555	1015.351502
556	1015.006812
557	1014.864992
558	1014.508694
559	1014.372266
560	1014.04731
561	1013.625403
562	1013.570333
563	1013.341588
564	1013.275548
565	1012.967674
566	1012.580196
567	1012.457243
568	1011.942176
569	1011.588234
570	1011.423266
571	1011.057869
572	1010.642891
573	1010.411375
574	1010.176866
575	1010.05609
576	1009.910891
577	1009.443447
578	1009.274661
579	1009.064102
580	1008.983878
581	1008.591611
582	1008.06823
583	1007.89951
584	1007.702766
585	1007.590508
586	1007.414409
587	1006.800525
588	1006.536408
589	1006.354476
590	1006.144908
591	1006.010336
592	1005.694093
593	1005.339275
594	1004.877611
595	1004.723128
596	1004.246499
597	1004.014785
598	1003.852044
599	1003.392323
600	1002.73743
601	1002.26387
602	1002.197324
603	1001.944962
604	1001.729033
605	1001.53353
606	1001.227149
607	1000.896084
608	1000.689326
609	1000.46506
610	1000.288928
611	1000.150262
612	1000.023093
613	999.7664457
614	999.5455257
615	999.0961167
616	998.9110843
617	998.5507755
618	998.3951037
619	998.1741926
620	997.936574
621	997.6413824
622	997.1020654
623	996.8881373
624	996.7247746
625	996.5437381
626	996.063261
627	995.7020442
628	995.23553
629	994.8935808
630	994.6880676
631	994.3409975
632	993.9641559
633	993.8803894
634	993.7668748
635	993.3245895
636	993.0377258
637	992.8033062
638	992.318288
639	992.1004396
640	991.8972854
641	991.6854398
642	991.294399
643	991.088951
644	990.8748625
645	990.4518596
646	990.2936943
647	990.1992389
648	989.9435189
649	989.6411066
650	989.48217
651	989.3486793
652	988.9473695
653	988.8732778
654	988.674441
655	988.4284518
656	987.9666506
657	987.8770623
658	987.6741478
659	987.5574977
660	987.2839698
661	987.0786373
662	986.6447151
663	986.4624588
664	986.0817595
665	985.7306315
666	985.5331532
667	985.3056873
668	985.1259641
669	984.840329
670	984.733049
671	984.5873016
672	984.340923
673	984.2676676
674	984.1933872
675	983.9343808
676	983.5257741
677	983.2668829
678	982.7961736
679	982.6270658
680	982.404259
681	982.2508178
682	981.9529671
683	981.8311067
684	981.6024962
685	981.185156
686	980.7993588
687	980.5468609
688	980.3647557
689	980.1005942
690	979.9519877
691	979.8843987
692	979.7199989
693	979.3867532
694	979.2526047
695	978.7591985
696	978.0265757
697	977.8110462
698	977.5645727
699	977.1056454
700	976.7818787
701	976.6742084
702	976.1810776
703	975.4153532
704	975.1061493
705	975.0475552
706	974.8307126
707	974.5805961
708	974.3881764
709	974.2702846
710	973.7905501
711	973.7064396
712	973.4089254
713	973.0732208
714	972.9472072
715	972.7842357
716	972.5939133
717	972.4134234
718	972.3025372
719	972.119912
720	971.9590762
721	971.6185739
722	971.489664
723	971.3695846
724	970.6722648
725	970.3538158
726	970.1505684
727	969.9686721
728	969.7027997
729	969.4703254
730	969.3803543
731	969.3527608
732	968.967459
733	968.7901842
734	968.541145
735	968.4507921
736	968.2378323
737	968.128986
738	967.7971162
739	967.6135561
740	967.3985745
741	967.2997525
742	967.1968467
743	967.0917747
744	966.8027618
745	966.4762084
746	966.3779115
747	965.9665918
748	965.7229858
749	965.3506785
750	965.145586
751	965.0119003
752	964.762972
753	964.3082705
754	963.9554079
755	963.8218369
756	963.7072195
757	963.5496726
758	963.441573
759	963.3299919
760	962.9089211
761	962.5306329
762	962.417659
763	962.3317555
764	962.0807277
765	961.7952951
766	961.5431475
767	961.3989812
768	961.307831
769	961.0518582
770	960.8237179
771	960.6897039
772	960.3117708
773	960.1142247
774	959.984496
775	959.8076951
776	959.6740242
777	959.3541886
778	958.7167591
779	958.4236981
780	958.3241403
781	958.2014984
782	957.9618402
783	957.7757053
784	957.7367451
785	957.4484245
786	957.2064379
787	956.8122895
788	956.7199844
789	956.5185505
790	956.1924507
791	956.1161444
792	956.0333116
793	955.9300693
794	955.7647365
795	955.621236
796	955.443304
797	955.3585243
798	955.2077539
799	954.7243076
800	954.6106494
801	954.3189535
802	954.2289654
803	954.0393626
804	953.6686642
805	953.394189
806	953.2399791
807	953.0998205
808	952.9675501
809	952.8997373
810	952.8580173
811	952.7187787
812	952.6846657
813	952.4684924
814	952.3398434
815	952.1327346
816	952.0269318
817	951.9238516
818	951.7477464
819	951.2227715
820	950.982233
821	950.8570348
822	950.7258108
823	950.5618378
824	950.1993668
825	950.0499511
826	949.9887737
827	949.8684421
828	949.6630203
829	949.4267566
830	949.2971668
831	949.1699025
832	949.1097917
833	948.7425698
834	948.5447269
835	948.4172932
836	948.1486917
837	947.9433924
838	947.8400392
839	947.6510878
840	947.4432047
841	947.1882636
842	947.0373637
843	946.8326927
844	946.4769412
845	946.3292956
846	946.1302196
847	945.9474931
848	945.6300925
849	945.5308369
850	945.3401248
851	945.1867207
852	944.9754852
853	944.7443604
854	944.5439661
855	944.396979
856	944.2825893
857	944.0356256
858	943.9773761
859	943.7374758
860	943.6212667
861	943.4150884
862	943.0767788
863	942.7668638
864	942.6349834
865	942.4467651
866	942.142261
867	942.1095782
868	941.8377201
869	941.5576118
870	941.3591127
871	941.2936181
872	940.9474974
873	940.7816677
874	940.751803
875	940.5467142
876	940.2938812
877	940.1396367
878	940.0141686
879	939.9917734
880	939.6845762
881	939.3256783
882	939.2069714
883	939.1363351
884	938.9248973
885	938.6434826
886	938.4911426
887	938.3430719
888	938.2340252
889	937.9600831
890	937.7195269
891	937.6110582
892	937.5011701
893	937.340186
894	936.9731617
895	936.5720735
896	936.5399087
897	936.4592772
898	936.3460755
899	936.2858794
900	936.1115595
901	935.9889995
902	935.8483973
903	935.4893531
904	935.3941219
905	935.2475226
906	935.1968865
907	935.0022165
908	934.9013709
909	934.7617006
910	934.4601506
911	934.3153838
912	934.1701876
913	934.0342692
914	933.7949022
915	933.615932
916	933.5160212
917	933.2623278
918	933.1937596
919	933.132669
920	932.9214546
921	932.8195099
922	932.7166854
923	932.5270363
924	932.4778278
925	932.4213073
926	932.2819941
927	932.1034341
928	931.9085545
929	931.5364444
930	931.4289887
931	931.3359231
932	931.1772372
933	931.1292769
934	930.8576281
935	930.7165438
936	930.6394919
937	930.5394821
938	930.4733215
939	930.254885
940	929.9045003
941	929.8154162
942	929.6919431
943	929.4567215
944	929.446317
945	929.2530751
946	929.0540507
947	928.9563354
948	928.9049302
949	928.8821757
950	928.8292768
951	928.7160591
952	928.6085015
953	928.5234551
954	928.1672071
955	927.8824713
956	927.5668452
957	927.3673783
958	927.0737202
959	927.0319572
960	926.8844769
961	926.6204126
962	926.4657004
963	926.2812471
964	926.0690271
965	925.8448515
966	925.7838659
967	925.4211679
968	925.3678392
969	925.1049113
970	924.8580262
971	924.7267756
972	924.5137177
973	924.3286201
974	924.0880055
975	924.003488
976	923.8364404
977	923.7016024
978	923.3082274
979	923.2237617
980	923.0129139
981	922.8247128
982	922.545317
983	922.4858765
984	922.365383
985	922.2256383
986	922.0242976
987	921.7240105
988	921.5010634
989	921.3970944
990	921.2520972
991	921.2220646
992	921.2113316
993	921.1248167
994	920.901002
995	920.7823655
996	920.5661569
997	920.4521288
998	920.2663441
999	920.1868738
